Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,Peru,-9.19,-75.0152,1/22/20,0,0,0
,Peru,-9.19,-75.0152,1/23/20,0,0,0
,Peru,-9.19,-75.0152,1/24/20,0,0,0
,Peru,-9.19,-75.0152,1/25/20,0,0,0
,Peru,-9.19,-75.0152,1/26/20,0,0,0
,Peru,-9.19,-75.0152,1/27/20,0,0,0
,Peru,-9.19,-75.0152,1/28/20,0,0,0
,Peru,-9.19,-75.0152,1/29/20,0,0,0
,Peru,-9.19,-75.0152,1/30/20,0,0,0
,Peru,-9.19,-75.0152,1/31/20,0,0,0
,Peru,-9.19,-75.0152,2/1/20,0,0,0
,Peru,-9.19,-75.0152,2/2/20,0,0,0
,Peru,-9.19,-75.0152,2/3/20,0,0,0
,Peru,-9.19,-75.0152,2/4/20,0,0,0
,Peru,-9.19,-75.0152,2/5/20,0,0,0
,Peru,-9.19,-75.0152,2/6/20,0,0,0
,Peru,-9.19,-75.0152,2/7/20,0,0,0
,Peru,-9.19,-75.0152,2/8/20,0,0,0
,Peru,-9.19,-75.0152,2/9/20,0,0,0
,Peru,-9.19,-75.0152,2/10/20,0,0,0
,Peru,-9.19,-75.0152,2/11/20,0,0,0
,Peru,-9.19,-75.0152,2/12/20,0,0,0
,Peru,-9.19,-75.0152,2/13/20,0,0,0
,Peru,-9.19,-75.0152,2/14/20,0,0,0
,Peru,-9.19,-75.0152,2/15/20,0,0,0
,Peru,-9.19,-75.0152,2/16/20,0,0,0
,Peru,-9.19,-75.0152,2/17/20,0,0,0
,Peru,-9.19,-75.0152,2/18/20,0,0,0
,Peru,-9.19,-75.0152,2/19/20,0,0,0
,Peru,-9.19,-75.0152,2/20/20,0,0,0
,Peru,-9.19,-75.0152,2/21/20,0,0,0
,Peru,-9.19,-75.0152,2/22/20,0,0,0
,Peru,-9.19,-75.0152,2/23/20,0,0,0
,Peru,-9.19,-75.0152,2/24/20,0,0,0
,Peru,-9.19,-75.0152,2/25/20,0,0,0
,Peru,-9.19,-75.0152,2/26/20,0,0,0
,Peru,-9.19,-75.0152,2/27/20,0,0,0
,Peru,-9.19,-75.0152,2/28/20,0,0,0
,Peru,-9.19,-75.0152,2/29/20,0,0,0
,Peru,-9.19,-75.0152,3/1/20,0,0,0
,Peru,-9.19,-75.0152,3/2/20,0,0,0
,Peru,-9.19,-75.0152,3/3/20,0,0,0
,Peru,-9.19,-75.0152,3/4/20,0,0,0
,Peru,-9.19,-75.0152,3/5/20,0,0,0
,Peru,-9.19,-75.0152,3/6/20,1,0,0
,Peru,-9.19,-75.0152,3/7/20,1,0,0
,Peru,-9.19,-75.0152,3/8/20,6,0,0
,Peru,-9.19,-75.0152,3/9/20,7,0,0
,Peru,-9.19,-75.0152,3/10/20,11,0,0
,Peru,-9.19,-75.0152,3/11/20,11,0,0
,Peru,-9.19,-75.0152,3/12/20,15,0,0
,Peru,-9.19,-75.0152,3/13/20,28,0,0
,Peru,-9.19,-75.0152,3/14/20,38,0,0
,Peru,-9.19,-75.0152,3/15/20,43,0,0
,Peru,-9.19,-75.0152,3/16/20,86,0,0
,Peru,-9.19,-75.0152,3/17/20,117,0,1
,Peru,-9.19,-75.0152,3/18/20,145,0,1
,Peru,-9.19,-75.0152,3/19/20,234,0,1
,Peru,-9.19,-75.0152,3/20/20,234,3,1
,Peru,-9.19,-75.0152,3/21/20,318,5,1
,Peru,-9.19,-75.0152,3/22/20,363,5,1
,Peru,-9.19,-75.0152,3/23/20,395,5,1
,Peru,-9.19,-75.0152,3/24/20,416,7,1
,Peru,-9.19,-75.0152,3/25/20,480,9,1
,Peru,-9.19,-75.0152,3/26/20,580,9,14
,Peru,-9.19,-75.0152,3/27/20,635,11,16
,Peru,-9.19,-75.0152,3/28/20,671,16,16
,Peru,-9.19,-75.0152,3/29/20,852,18,16
,Peru,-9.19,-75.0152,3/30/20,950,24,53
,Peru,-9.19,-75.0152,3/31/20,1065,30,394
,Peru,-9.19,-75.0152,4/1/20,1323,38,394
,Peru,-9.19,-75.0152,4/2/20,1414,55,537
,Peru,-9.19,-75.0152,4/3/20,1595,61,537
,Peru,-9.19,-75.0152,4/4/20,1746,73,914
,Peru,-9.19,-75.0152,4/5/20,2281,83,989
,Peru,-9.19,-75.0152,4/6/20,2561,92,997
,Peru,-9.19,-75.0152,4/7/20,2954,107,1301
,Peru,-9.19,-75.0152,4/8/20,4342,121,1333
,Peru,-9.19,-75.0152,4/9/20,5256,138,1438
,Peru,-9.19,-75.0152,4/10/20,5897,169,1569
,Peru,-9.19,-75.0152,4/11/20,6848,181,1739
,Peru,-9.19,-75.0152,4/12/20,7519,193,1798
,Peru,-9.19,-75.0152,4/13/20,9784,216,2642
,Peru,-9.19,-75.0152,4/14/20,10303,230,2869
,Peru,-9.19,-75.0152,4/15/20,11475,254,3108
,Peru,-9.19,-75.0152,4/16/20,12491,274,6120
,Peru,-9.19,-75.0152,4/17/20,13489,300,6541
,Peru,-9.19,-75.0152,4/18/20,14420,348,6684
,Peru,-9.19,-75.0152,4/19/20,15628,400,6811
,Peru,-9.19,-75.0152,4/20/20,16325,445,6968
,Peru,-9.19,-75.0152,4/21/20,17837,484,6982
,Peru,-9.19,-75.0152,4/22/20,19250,530,7027
,Peru,-9.19,-75.0152,4/23/20,20914,572,7422
,Peru,-9.19,-75.0152,4/24/20,21648,634,7496
,Peru,-9.19,-75.0152,4/25/20,25331,700,7797
,Peru,-9.19,-75.0152,4/26/20,27517,728,8088
,Peru,-9.19,-75.0152,4/27/20,28699,782,8425
,Peru,-9.19,-75.0152,4/28/20,31190,854,9179
,Peru,-9.19,-75.0152,4/29/20,33931,943,10037
,Peru,-9.19,-75.0152,4/30/20,36976,1051,10405
,Peru,-9.19,-75.0152,5/1/20,40459,1124,11129
,Peru,-9.19,-75.0152,5/2/20,42534,1200,12434
,Peru,-9.19,-75.0152,5/3/20,45928,1286,13550
,Peru,-9.19,-75.0152,5/4/20,47372,1344,14427
,Peru,-9.19,-75.0152,5/5/20,51189,1444,15413
,Peru,-9.19,-75.0152,5/6/20,54817,1533,17527
,Peru,-9.19,-75.0152,5/7/20,58526,1627,18388
,Peru,-9.19,-75.0152,5/8/20,61847,1714,19012
,Peru,-9.19,-75.0152,5/9/20,65015,1814,20246
,Peru,-9.19,-75.0152,5/10/20,67307,1889,21349
,Peru,-9.19,-75.0152,5/11/20,68822,1961,22406
,Peru,-9.19,-75.0152,5/12/20,72059,2057,23324
,Peru,-9.19,-75.0152,5/13/20,76306,2169,24324
,Peru,-9.19,-75.0152,5/14/20,80604,2267,25151
,Peru,-9.19,-75.0152,5/15/20,84495,2392,27147
,Peru,-9.19,-75.0152,5/16/20,88541,2523,28272
,Peru,-9.19,-75.0152,5/17/20,92273,2648,28621
,Peru,-9.19,-75.0152,5/18/20,94933,2789,30306
,Peru,-9.19,-75.0152,5/19/20,99483,2914,36524
,Peru,-9.19,-75.0152,5/20/20,104020,3024,41968
,Peru,-9.19,-75.0152,5/21/20,108769,3148,43587
,Peru,-9.19,-75.0152,5/22/20,111698,3244,44848
,Peru,-9.19,-75.0152,5/23/20,115754,3373,47915
,Peru,-9.19,-75.0152,5/24/20,119959,3456,49795
,Peru,-9.19,-75.0152,5/25/20,123979,3629,50949
,Peru,-9.19,-75.0152,5/26/20,129751,3788,52906
,Peru,-9.19,-75.0152,5/27/20,135905,3983,56169
,Peru,-9.19,-75.0152,5/28/20,141779,4099,59442
,Peru,-9.19,-75.0152,5/29/20,148285,4230,62791
,Peru,-9.19,-75.0152,5/30/20,155671,4371,66447
,Peru,-9.19,-75.0152,5/31/20,164476,4506,67208
,Peru,-9.19,-75.0152,6/1/20,170039,4634,68507
,Peru,-9.19,-75.0152,6/2/20,178165,4767,69257
,Peru,-9.19,-75.0152,6/3/20,178914,4894,72319
,Peru,-9.19,-75.0152,6/4/20,183198,5031,76228
,Peru,-9.19,-75.0152,6/5/20,187400,5162,79214
,Peru,-9.19,-75.0152,6/6/20,191758,5301,82731
,Peru,-9.19,-75.0152,6/7/20,196515,5465,86219
,Peru,-9.19,-75.0152,6/8/20,199696,5571,89556
,Peru,-9.19,-75.0152,6/9/20,203736,5738,92929
,Peru,-9.19,-75.0152,6/10/20,208823,5903,98031
,Peru,-9.19,-75.0152,6/11/20,214788,6088,102429
,Peru,-9.19,-75.0152,6/12/20,214788,6088,107133
,Peru,-9.19,-75.0152,6/13/20,220749,6308,111724
,Peru,-9.19,-75.0152,6/14/20,229736,6688,115579
,Peru,-9.19,-75.0152,6/15/20,232992,6860,119409
,Peru,-9.19,-75.0152,6/16/20,237156,7056,125205
,Peru,-9.19,-75.0152,6/17/20,240908,7257,128622
,Peru,-9.19,-75.0152,6/18/20,244388,7461,131190
,Peru,-9.19,-75.0152,6/19/20,247925,7660,135520
,Peru,-9.19,-75.0152,6/20/20,251338,7861,143017
,Peru,-9.19,-75.0152,6/21/20,254936,8045,141967
,Peru,-9.19,-75.0152,6/22/20,257447,8223,145320
,Peru,-9.19,-75.0152,6/23/20,260810,8404,148437
,Peru,-9.19,-75.0152,6/24/20,264689,8586,151589
,Peru,-9.19,-75.0152,6/25/20,268602,8761,151225
,Peru,-9.19,-75.0152,6/26/20,272364,8939,159806
,Peru,-9.19,-75.0152,6/27/20,275989,9135,164024
,Peru,-9.19,-75.0152,6/28/20,279419,9317,167998
,Peru,-9.19,-75.0152,6/29/20,282365,9504,171159
,Peru,-9.19,-75.0152,6/30/20,285213,9677,174535
,Peru,-9.19,-75.0152,7/1/20,288477,9860,178245
,Peru,-9.19,-75.0152,7/2/20,292004,10045,182097
,Peru,-9.19,-75.0152,7/3/20,295599,10226,185852
,Peru,-9.19,-75.0152,7/4/20,299080,10412,189621
