Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,Estonia,58.5953,25.0136,1/22/20,0,0,0
,Estonia,58.5953,25.0136,1/23/20,0,0,0
,Estonia,58.5953,25.0136,1/24/20,0,0,0
,Estonia,58.5953,25.0136,1/25/20,0,0,0
,Estonia,58.5953,25.0136,1/26/20,0,0,0
,Estonia,58.5953,25.0136,1/27/20,0,0,0
,Estonia,58.5953,25.0136,1/28/20,0,0,0
,Estonia,58.5953,25.0136,1/29/20,0,0,0
,Estonia,58.5953,25.0136,1/30/20,0,0,0
,Estonia,58.5953,25.0136,1/31/20,0,0,0
,Estonia,58.5953,25.0136,2/1/20,0,0,0
,Estonia,58.5953,25.0136,2/2/20,0,0,0
,Estonia,58.5953,25.0136,2/3/20,0,0,0
,Estonia,58.5953,25.0136,2/4/20,0,0,0
,Estonia,58.5953,25.0136,2/5/20,0,0,0
,Estonia,58.5953,25.0136,2/6/20,0,0,0
,Estonia,58.5953,25.0136,2/7/20,0,0,0
,Estonia,58.5953,25.0136,2/8/20,0,0,0
,Estonia,58.5953,25.0136,2/9/20,0,0,0
,Estonia,58.5953,25.0136,2/10/20,0,0,0
,Estonia,58.5953,25.0136,2/11/20,0,0,0
,Estonia,58.5953,25.0136,2/12/20,0,0,0
,Estonia,58.5953,25.0136,2/13/20,0,0,0
,Estonia,58.5953,25.0136,2/14/20,0,0,0
,Estonia,58.5953,25.0136,2/15/20,0,0,0
,Estonia,58.5953,25.0136,2/16/20,0,0,0
,Estonia,58.5953,25.0136,2/17/20,0,0,0
,Estonia,58.5953,25.0136,2/18/20,0,0,0
,Estonia,58.5953,25.0136,2/19/20,0,0,0
,Estonia,58.5953,25.0136,2/20/20,0,0,0
,Estonia,58.5953,25.0136,2/21/20,0,0,0
,Estonia,58.5953,25.0136,2/22/20,0,0,0
,Estonia,58.5953,25.0136,2/23/20,0,0,0
,Estonia,58.5953,25.0136,2/24/20,0,0,0
,Estonia,58.5953,25.0136,2/25/20,0,0,0
,Estonia,58.5953,25.0136,2/26/20,0,0,0
,Estonia,58.5953,25.0136,2/27/20,1,0,0
,Estonia,58.5953,25.0136,2/28/20,1,0,0
,Estonia,58.5953,25.0136,2/29/20,1,0,0
,Estonia,58.5953,25.0136,3/1/20,1,0,0
,Estonia,58.5953,25.0136,3/2/20,1,0,0
,Estonia,58.5953,25.0136,3/3/20,2,0,0
,Estonia,58.5953,25.0136,3/4/20,2,0,0
,Estonia,58.5953,25.0136,3/5/20,3,0,0
,Estonia,58.5953,25.0136,3/6/20,10,0,0
,Estonia,58.5953,25.0136,3/7/20,10,0,0
,Estonia,58.5953,25.0136,3/8/20,10,0,0
,Estonia,58.5953,25.0136,3/9/20,10,0,0
,Estonia,58.5953,25.0136,3/10/20,12,0,0
,Estonia,58.5953,25.0136,3/11/20,16,0,0
,Estonia,58.5953,25.0136,3/12/20,16,0,0
,Estonia,58.5953,25.0136,3/13/20,79,0,0
,Estonia,58.5953,25.0136,3/14/20,115,0,0
,Estonia,58.5953,25.0136,3/15/20,171,0,1
,Estonia,58.5953,25.0136,3/16/20,205,0,1
,Estonia,58.5953,25.0136,3/17/20,225,0,1
,Estonia,58.5953,25.0136,3/18/20,258,0,1
,Estonia,58.5953,25.0136,3/19/20,267,0,1
,Estonia,58.5953,25.0136,3/20/20,283,0,1
,Estonia,58.5953,25.0136,3/21/20,306,0,1
,Estonia,58.5953,25.0136,3/22/20,326,0,2
,Estonia,58.5953,25.0136,3/23/20,352,0,2
,Estonia,58.5953,25.0136,3/24/20,369,0,7
,Estonia,58.5953,25.0136,3/25/20,404,1,8
,Estonia,58.5953,25.0136,3/26/20,538,1,8
,Estonia,58.5953,25.0136,3/27/20,575,1,11
,Estonia,58.5953,25.0136,3/28/20,645,1,20
,Estonia,58.5953,25.0136,3/29/20,679,3,20
,Estonia,58.5953,25.0136,3/30/20,715,3,20
,Estonia,58.5953,25.0136,3/31/20,745,4,26
,Estonia,58.5953,25.0136,4/1/20,779,5,33
,Estonia,58.5953,25.0136,4/2/20,858,11,45
,Estonia,58.5953,25.0136,4/3/20,961,12,48
,Estonia,58.5953,25.0136,4/4/20,1039,13,59
,Estonia,58.5953,25.0136,4/5/20,1097,15,62
,Estonia,58.5953,25.0136,4/6/20,1108,19,62
,Estonia,58.5953,25.0136,4/7/20,1149,21,69
,Estonia,58.5953,25.0136,4/8/20,1185,24,72
,Estonia,58.5953,25.0136,4/9/20,1207,24,83
,Estonia,58.5953,25.0136,4/10/20,1258,24,93
,Estonia,58.5953,25.0136,4/11/20,1304,24,93
,Estonia,58.5953,25.0136,4/12/20,1309,25,98
,Estonia,58.5953,25.0136,4/13/20,1332,28,102
,Estonia,58.5953,25.0136,4/14/20,1373,31,115
,Estonia,58.5953,25.0136,4/15/20,1400,35,117
,Estonia,58.5953,25.0136,4/16/20,1434,36,133
,Estonia,58.5953,25.0136,4/17/20,1459,38,145
,Estonia,58.5953,25.0136,4/18/20,1512,38,162
,Estonia,58.5953,25.0136,4/19/20,1528,40,164
,Estonia,58.5953,25.0136,4/20/20,1535,40,165
,Estonia,58.5953,25.0136,4/21/20,1552,43,169
,Estonia,58.5953,25.0136,4/22/20,1559,44,184
,Estonia,58.5953,25.0136,4/23/20,1592,45,192
,Estonia,58.5953,25.0136,4/24/20,1605,46,206
,Estonia,58.5953,25.0136,4/25/20,1635,46,228
,Estonia,58.5953,25.0136,4/26/20,1643,49,233
,Estonia,58.5953,25.0136,4/27/20,1647,50,233
,Estonia,58.5953,25.0136,4/28/20,1660,50,240
,Estonia,58.5953,25.0136,4/29/20,1666,50,236
,Estonia,58.5953,25.0136,4/30/20,1689,52,249
,Estonia,58.5953,25.0136,5/1/20,1694,52,253
,Estonia,58.5953,25.0136,5/2/20,1699,53,256
,Estonia,58.5953,25.0136,5/3/20,1700,55,259
,Estonia,58.5953,25.0136,5/4/20,1703,55,259
,Estonia,58.5953,25.0136,5/5/20,1711,55,261
,Estonia,58.5953,25.0136,5/6/20,1713,55,264
,Estonia,58.5953,25.0136,5/7/20,1720,56,273
,Estonia,58.5953,25.0136,5/8/20,1725,56,704
,Estonia,58.5953,25.0136,5/9/20,1733,60,747
,Estonia,58.5953,25.0136,5/10/20,1739,60,750
,Estonia,58.5953,25.0136,5/11/20,1741,61,751
,Estonia,58.5953,25.0136,5/12/20,1746,61,777
,Estonia,58.5953,25.0136,5/13/20,1751,61,777
,Estonia,58.5953,25.0136,5/14/20,1758,62,909
,Estonia,58.5953,25.0136,5/15/20,1766,63,923
,Estonia,58.5953,25.0136,5/16/20,1770,63,934
,Estonia,58.5953,25.0136,5/17/20,1774,63,938
,Estonia,58.5953,25.0136,5/18/20,1784,64,938
,Estonia,58.5953,25.0136,5/19/20,1791,64,938
,Estonia,58.5953,25.0136,5/20/20,1794,64,956
,Estonia,58.5953,25.0136,5/21/20,1800,64,1488
,Estonia,58.5953,25.0136,5/22/20,1807,64,1508
,Estonia,58.5953,25.0136,5/23/20,1821,64,1526
,Estonia,58.5953,25.0136,5/24/20,1823,64,1532
,Estonia,58.5953,25.0136,5/25/20,1824,65,1538
,Estonia,58.5953,25.0136,5/26/20,1834,65,1552
,Estonia,58.5953,25.0136,5/27/20,1840,66,1561
,Estonia,58.5953,25.0136,5/28/20,1851,66,1574
,Estonia,58.5953,25.0136,5/29/20,1859,67,1610
,Estonia,58.5953,25.0136,5/30/20,1865,67,1622
,Estonia,58.5953,25.0136,5/31/20,1869,68,1624
,Estonia,58.5953,25.0136,6/1/20,1870,68,1625
,Estonia,58.5953,25.0136,6/2/20,1870,68,1632
,Estonia,58.5953,25.0136,6/3/20,1880,69,1650
,Estonia,58.5953,25.0136,6/4/20,1890,69,1663
,Estonia,58.5953,25.0136,6/5/20,1910,69,1667
,Estonia,58.5953,25.0136,6/6/20,1931,69,1675
,Estonia,58.5953,25.0136,6/7/20,1939,69,1681
,Estonia,58.5953,25.0136,6/8/20,1940,69,1683
,Estonia,58.5953,25.0136,6/9/20,1947,69,1684
,Estonia,58.5953,25.0136,6/10/20,1958,69,1690
,Estonia,58.5953,25.0136,6/11/20,1965,69,1697
,Estonia,58.5953,25.0136,6/12/20,1970,69,1703
,Estonia,58.5953,25.0136,6/13/20,1973,69,1705
,Estonia,58.5953,25.0136,6/14/20,1973,69,1705
,Estonia,58.5953,25.0136,6/15/20,1974,69,1717
,Estonia,58.5953,25.0136,6/16/20,1975,69,1728
,Estonia,58.5953,25.0136,6/17/20,1977,69,1743
,Estonia,58.5953,25.0136,6/18/20,1977,69,1748
,Estonia,58.5953,25.0136,6/19/20,1979,69,1755
,Estonia,58.5953,25.0136,6/20/20,1981,69,1758
,Estonia,58.5953,25.0136,6/21/20,1981,69,1764
,Estonia,58.5953,25.0136,6/22/20,1981,69,1765
,Estonia,58.5953,25.0136,6/23/20,1982,69,1771
,Estonia,58.5953,25.0136,6/24/20,1983,69,1783
,Estonia,58.5953,25.0136,6/25/20,1984,69,1790
,Estonia,58.5953,25.0136,6/26/20,1986,69,1797
,Estonia,58.5953,25.0136,6/27/20,1986,69,1812
,Estonia,58.5953,25.0136,6/28/20,1987,69,1818
,Estonia,58.5953,25.0136,6/29/20,1987,69,1818
